age_sex,mean_ghgs,mean_watscar,mean_bio,mean_eut,mean_watuse,mean_acid,sd_ghgs,sd_watscar,sd_bio,sd_eut,sd_watuse,sd_acid
20-29_female,-0.15880032967205343,-0.18033603430575254,-0.11134888258712518,-0.0974383088785952,-0.08092441908461966,-0.15716852266364162,-0.1412968442041339,-0.08759666109098231,-0.07632660632277981,-0.04158797689056575,-0.05219227776909351,-0.15297717605672362
20-29_male,0.09146113388046057,0.12222851421678028,0.06660915790438192,0.2404811101717764,0.12470409512192229,0.13798276448825564,0.07845335517572102,0.11654146185594702,0.07429931404028664,0.5944523842811006,0.09136138946736122,0.44581794631995203
30-39_female,-0.11565456615920164,-0.12726935364124306,-0.07006275951591422,-0.09962746984131597,-0.06982191674330253,-0.1142899890167698,-0.12168803306557206,-0.1375588237235447,-0.061733731742260545,-0.13716149447489423,-0.0898551850168852,-0.1913449439985549
30-39_male,0.026351813556661753,0.08891115693411222,0.029404906324667305,0.10011736690891042,0.0845924488748937,0.04431523019053035,0.02354786699790535,0.0908580141415025,0.008425946811408942,0.1495196098263111,0.13165111270696242,0.16160602326306936
40-49_female,-0.03985250208703749,-0.09556400924894885,-0.01859420830274013,-0.07001331503861508,-0.08141735119209849,-0.05238079994956336,-0.06901365156568107,-0.03738159828519066,-0.0296466423931805,-0.1403040014835095,-0.05363746494725756,-0.1264564227110852
40-49_male,0.03446401742847424,-0.04338970165495557,0.0260004931664334,0.04042471267145893,-0.05603270348462283,0.017345414103446165,-0.04344408525940574,-0.026064685676972087,-0.007879662341389404,-0.031369550923049286,-0.08655768689410903,-0.053237272602107436
50-59_female,-0.016275933446516774,-0.03795454862426269,-0.022501521581446013,-0.07762362866508726,-0.03570755909261375,-0.020325486964051304,-0.05913514642788214,-0.04114030765117753,-0.02989468867689817,-0.18698364706503595,-0.021441664457724777,-0.12719680329025515
50-59_male,0.02397326279296298,-0.054619392511838546,-0.0024028293814900023,0.004549075351261635,-0.051510032714566036,0.012237547674985721,-0.03305133387363091,-0.10840985003178696,-0.008754753088932954,-0.01757967606128922,-0.07965382494992404,-0.051722768379684175
60-69_female,0.004956663384122683,0.036434030634793044,0.0034061060600586402,-0.05182823125685152,0.02209551020851254,0.01900105180871245,0.0176580459428075,-0.01075871132458643,0.007602224590020337,-0.14150766690593716,0.012819358787625176,-0.06357537448012239
60-69_male,0.010354703946580722,0.05566146129146963,-0.0008561618976903409,-0.01891607932466171,0.010770208377935764,0.010631190081505945,-0.0051148011615071935,0.11109955483633502,0.009141913632838769,-0.05144558844570352,0.041903971149027774,-0.07722532904881944
70-79_female,0.03779291870516495,0.09876511208436047,0.03389313800231285,-0.028385828238186923,0.05553765330921122,0.03235768531036095,0.19353510880481492,0.05609549717201596,0.06526751375975506,0.03288273051033746,0.07256002857975338,0.18473221770990128
70-79_male,0.10122881767037988,0.1371327648254883,0.06645256180855208,0.0582605961399113,0.07771406641934982,0.07029391493623142,0.15954951863656408,0.07431610977843911,0.0494991717311317,-0.02891512236776381,0.033042243344262555,0.05157990327443096
